!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9983351831298557, "ud.sym": 0.0011098779134295228, "ud.noun": 0.0005549389567147614}
#	{"ud.x": 0.6666666666666666, "ud.sym": 0.3333333333333333}
$	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
%	{"ud.x": 0.08571428571428572, "ud.noun": 0.8761904761904762, "ud.sym": 0.0380952380952381}
&	{"ud.sym": 1.0}
'	{"ud.punct": 0.8955223880597015, "ud.noun": 0.08955223880597014, "ud.sym": 0.014925373134328358}
''	{"ud.punct": 1.0}
's	{"ud.part": 0.02702702702702703, "ud.x": 0.7027027027027027, "ud.punct": 0.02702702702702703, "ud.propn": 0.10810810810810811, "ud.pron": 0.13513513513513514}
(	{"ud.punct": 1.0}
)	{"ud.punct": 0.9994366197183099, "ud.x": 0.0005633802816901409}
*	{"ud.sym": 0.3, "ud.x": 0.5, "ud.noun": 0.1, "ud.punct": 0.1}
+	{"ud.cconj": 0.07692307692307693, "ud.propn": 0.5384615384615384, "ud.x": 0.07692307692307693, "ud.sym": 0.3076923076923077}
,	{"ud.punct": 1.0}
-	{"ud.punct": 0.9991228070175439, "ud.sym": 0.0005847953216374269, "ud.x": 0.00029239766081871346}
--	{"ud.punct": 1.0}
.	{"ud.punct": 1.0}
..	{"ud.punct": 0.9285714285714286, "ud.propn": 0.07142857142857142}
...	{"ud.punct": 1.0}
....	{"ud.punct": 1.0}
/	{"ud.x": 0.007905138339920948, "ud.punct": 0.9565217391304348, "ud.propn": 0.007905138339920948, "ud.adp": 0.007905138339920948, "ud.sym": 0.019762845849802372}
0	{"ud.num": 1.0}
0,4	{"ud.num": 1.0}
0,5	{"ud.num": 1.0}
0,7	{"ud.num": 1.0}
000	{"ud.num": 1.0}
02	{"ud.num": 1.0}
04	{"ud.num": 0.6, "ud.propn": 0.4}
07	{"ud.propn": 0.36363636363636365, "ud.num": 0.6363636363636364}
08	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
09	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
0:3	{"ud.num": 1.0}
1	{"ud.num": 0.7191011235955056, "ud.propn": 0.2808988764044944}
1,2	{"ud.num": 0.75, "ud.propn": 0.25}
1,5	{"ud.num": 1.0}
1,7	{"ud.num": 1.0}
1.	{"ud.adj": 0.6666666666666666, "ud.adv": 0.3333333333333333}
10	{"ud.num": 0.8867924528301887, "ud.propn": 0.11320754716981132}
10.000	{"ud.num": 1.0}
100	{"ud.num": 0.9444444444444444, "ud.propn": 0.05555555555555555}
100.000	{"ud.num": 1.0}
1000	{"ud.num": 0.9285714285714286, "ud.propn": 0.07142857142857142}
11	{"ud.num": 0.6842105263157895, "ud.propn": 0.3157894736842105}
110	{"ud.num": 1.0}
12	{"ud.num": 0.9230769230769231, "ud.propn": 0.07692307692307693}
12.000	{"ud.num": 1.0}
1200	{"ud.num": 1.0}
125	{"ud.num": 1.0}
1270	{"ud.num": 1.0}
13	{"ud.num": 0.8484848484848485, "ud.propn": 0.15151515151515152}
130	{"ud.num": 1.0}
1340	{"ud.num": 1.0}
1375	{"ud.num": 1.0}
14	{"ud.num": 0.9333333333333333, "ud.propn": 0.06666666666666667}
1440	{"ud.num": 1.0}
15	{"ud.num": 0.94, "ud.propn": 0.06}
150	{"ud.num": 1.0}
1500	{"ud.num": 1.0}
1501	{"ud.num": 1.0}
