!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
#	{"ud.noun": 1.0}
$	{"ud.sym": 0.9881889763779528, "ud.noun": 0.011811023622047244}
%	{"ud.sym": 0.9705882352941176, "ud.x": 0.029411764705882353}
&	{"ud.cconj": 0.9646017699115044, "ud.x": 0.035398230088495575}
'	{"ud.punct": 0.8396624472573839, "ud.part": 0.1308016877637131, "ud.noun": 0.029535864978902954}
''	{"ud.punct": 1.0}
'd	{"ud.aux": 1.0}
'll	{"ud.aux": 1.0}
'm	{"ud.aux": 0.9949238578680203, "ud.verb": 0.005076142131979695}
're	{"ud.aux": 1.0}
's	{"ud.aux": 0.3333333333333333, "ud.part": 0.605060506050605, "ud.pron": 0.014301430143014302, "ud.verb": 0.047304730473047306}
've	{"ud.aux": 1.0}
(	{"ud.punct": 0.9953051643192489, "ud.x": 0.004694835680751174}
(:	{"ud.sym": 1.0}
)	{"ud.punct": 0.9954853273137697, "ud.x": 0.004514672686230248}
*	{"ud.punct": 1.0}
**	{"ud.punct": 1.0}
***	{"ud.punct": 1.0}
+	{"ud.sym": 0.9473684210526315, "ud.cconj": 0.05263157894736842}
+1	{"ud.num": 1.0}
,	{"ud.punct": 1.0}
-	{"ud.punct": 0.9214586255259467, "ud.sym": 0.07082748948106592, "ud.x": 0.007713884992987377}
--	{"ud.punct": 1.0}
---	{"ud.punct": 1.0}
---------------------------------------------------------------------	{"ud.punct": 1.0}
-ect-kedne	{"ud.x": 1.0}
.	{"ud.punct": 1.0}
.!	{"ud.punct": 1.0}
..	{"ud.punct": 1.0}
...	{"ud.punct": 0.9826839826839827, "ud.sym": 0.017316017316017316}
....	{"ud.punct": 1.0}
.....	{"ud.punct": 1.0}
......	{"ud.punct": 1.0}
.......	{"ud.punct": 1.0}
.?	{"ud.punct": 1.0}
.doc	{"ud.noun": 1.0}
/	{"ud.punct": 0.8904761904761904, "ud.sym": 0.10952380952380952}
0	{"ud.num": 1.0}
01	{"ud.num": 1.0}
01/12/2001	{"ud.num": 1.0}
01/19/2001	{"ud.num": 1.0}
01/26/2001	{"ud.num": 1.0}
03/02/2001	{"ud.num": 1.0}
03/08/2000	{"ud.num": 1.0}
03/15/2001	{"ud.num": 1.0}
03:20	{"ud.num": 1.0}
04/16/2001	{"ud.num": 1.0}
04/30/2001	{"ud.num": 1.0}
05/25/2001	{"ud.num": 1.0}
06/01/2001	{"ud.num": 1.0}
07/17/2000	{"ud.num": 1.0}
09	{"ud.num": 1.0}
09/16/99	{"ud.num": 1.0}
1	{"ud.x": 0.2457627118644068, "ud.num": 0.7542372881355932}
1,200	{"ud.num": 1.0}
1.00	{"ud.num": 1.0}
1.5	{"ud.num": 1.0}
10	{"ud.num": 0.9764705882352941, "ud.x": 0.023529411764705882}
10,000	{"ud.num": 1.0}
10/20/2000	{"ud.num": 1.0}
10/23/2000	{"ud.num": 1.0}
10/26/2000	{"ud.num": 1.0}
100	{"ud.num": 1.0}
100,000	{"ud.num": 1.0}
1000	{"ud.num": 1.0}
102	{"ud.num": 1.0}
10:00	{"ud.num": 1.0}
10:30	{"ud.num": 1.0}
