!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9979313198179561, "ud.x": 0.002068680182043856}
#	{"ud.sym": 0.7272727272727273, "ud.noun": 0.09090909090909091, "ud.punct": 0.18181818181818182}
$	{"ud.sym": 0.6605504587155964, "ud.noun": 0.3394495412844037}
%	{"ud.sym": 1.0}
&	{"ud.propn": 0.3225806451612903, "ud.cconj": 0.3870967741935484, "ud.sym": 0.2903225806451613}
'	{"ud.punct": 0.9888888888888889, "ud.x": 0.011111111111111112}
''	{"ud.punct": 0.8666666666666667, "ud.noun": 0.13333333333333333}
'm	{"ud.propn": 1.0}
's	{"ud.x": 0.9117647058823529, "ud.propn": 0.08823529411764706}
(	{"ud.punct": 1.0}
)	{"ud.punct": 0.9995320542817033, "ud.x": 0.0004679457182966776}
*	{"ud.sym": 0.5714285714285714, "ud.punct": 0.42857142857142855}
+	{"ud.sym": 0.9333333333333333, "ud.punct": 0.06666666666666667}
,	{"ud.punct": 0.9999470423131918, "ud.x": 5.295768680824022e-05}
-	{"ud.punct": 0.998972250770812, "ud.x": 0.0010277492291880781}
--	{"ud.punct": 0.9927536231884058, "ud.x": 0.007246376811594203}
.	{"ud.punct": 1.0}
..	{"ud.punct": 1.0}
...	{"ud.punct": 1.0}
....	{"ud.punct": 1.0}
/	{"ud.sym": 0.09547738693467336, "ud.punct": 0.9045226130653267}
0	{"ud.num": 1.0}
0,0	{"ud.num": 1.0}
0.04	{"ud.num": 1.0}
0.06	{"ud.num": 1.0}
0.07	{"ud.num": 1.0}
0.09	{"ud.num": 1.0}
0.1	{"ud.num": 1.0}
0.12	{"ud.num": 1.0}
0.13	{"ud.num": 1.0}
0.17	{"ud.num": 1.0}
0.18	{"ud.num": 1.0}
0.19	{"ud.num": 1.0}
0.2	{"ud.num": 1.0}
0.21	{"ud.num": 1.0}
0.24	{"ud.num": 1.0}
0.25	{"ud.num": 1.0}
0.26	{"ud.num": 1.0}
0.28	{"ud.num": 1.0}
0.29	{"ud.num": 1.0}
0.32	{"ud.num": 1.0}
0.37	{"ud.num": 1.0}
0.46	{"ud.num": 1.0}
0.48	{"ud.num": 1.0}
0.49	{"ud.num": 1.0}
0.51	{"ud.num": 1.0}
0.74	{"ud.num": 1.0}
0.77	{"ud.num": 1.0}
0.83	{"ud.num": 1.0}
0.85	{"ud.num": 1.0}
000	{"ud.num": 1.0}
04	{"ud.num": 1.0}
1	{"ud.num": 1.0}
1,5	{"ud.num": 1.0}
1-0	{"ud.x": 0.2, "ud.num": 0.8}
1.000	{"ud.num": 1.0}
1.01	{"ud.num": 1.0}
1.2	{"ud.num": 1.0}
1.200	{"ud.num": 1.0}
1.41	{"ud.num": 1.0}
1.600	{"ud.num": 1.0}
10	{"ud.num": 1.0}
10,1	{"ud.num": 1.0}
10.000	{"ud.num": 1.0}
100	{"ud.num": 1.0}
100.000	{"ud.num": 1.0}
104	{"ud.num": 1.0}
11	{"ud.num": 1.0}
110	{"ud.num": 1.0}
116	{"ud.num": 1.0}
118	{"ud.num": 1.0}
12	{"ud.num": 1.0}
120	{"ud.num": 1.0}
121	{"ud.num": 1.0}
122	{"ud.num": 1.0}
123	{"ud.num": 1.0}
13	{"ud.num": 1.0}
131	{"ud.num": 1.0}
138	{"ud.num": 1.0}
14	{"ud.num": 1.0}
140	{"ud.num": 1.0}
143	{"ud.num": 1.0}
15	{"ud.num": 1.0}
150	{"ud.num": 1.0}
1500	{"ud.num": 1.0}
156	{"ud.num": 1.0}
159	{"ud.num": 1.0}
1590	{"ud.num": 1.0}
16	{"ud.num": 1.0}
1640	{"ud.num": 1.0}
1670	{"ud.num": 1.0}
17	{"ud.num": 1.0}
1700	{"ud.num": 1.0}
1739	{"ud.num": 1.0}
175	{"ud.num": 1.0}
1766	{"ud.num": 1.0}
1782	{"ud.num": 1.0}
1788	{"ud.num": 1.0}
1790	{"ud.num": 1.0}
1795	{"ud.num": 1.0}
1798	{"ud.num": 1.0}
1799	{"ud.num": 1.0}
18	{"ud.num": 1.0}
18.000	{"ud.num": 1.0}
180	{"ud.num": 1.0}
1800	{"ud.num": 1.0}
1801	{"ud.num": 1.0}
1802	{"ud.num": 1.0}
1810	{"ud.num": 1.0}
1811	{"ud.num": 1.0}
1812	{"ud.num": 1.0}
1814	{"ud.num": 1.0}
1817	{"ud.num": 1.0}
1818	{"ud.num": 1.0}
1821	{"ud.num": 1.0}
1822	{"ud.num": 1.0}
1824	{"ud.num": 1.0}
1825	{"ud.num": 1.0}
1830	{"ud.num": 1.0}
1832	{"ud.num": 1.0}
1834	{"ud.num": 1.0}
1836	{"ud.num": 1.0}
1838	{"ud.num": 1.0}
1839	{"ud.num": 1.0}
1842	{"ud.num": 1.0}
1843	{"ud.num": 1.0}
1844	{"ud.num": 1.0}
1845	{"ud.num": 1.0}
1847	{"ud.num": 1.0}
1849	{"ud.num": 1.0}
1850	{"ud.num": 1.0}
1851	{"ud.num": 1.0}
1853	{"ud.num": 1.0}
1855	{"ud.num": 1.0}
1856	{"ud.num": 1.0}
1859	{"ud.num": 1.0}
1860	{"ud.num": 1.0}
1861	{"ud.num": 1.0}
1862	{"ud.num": 1.0}
1863	{"ud.num": 1.0}
1864	{"ud.num": 1.0}
1865	{"ud.num": 1.0}
1869	{"ud.num": 1.0}
187	{"ud.num": 1.0}
1870	{"ud.num": 1.0}
1872	{"ud.num": 1.0}
1873	{"ud.num": 1.0}
1874	{"ud.num": 1.0}
1875	{"ud.num": 1.0}
1876	{"ud.num": 1.0}
1879	{"ud.num": 1.0}
1880	{"ud.num": 1.0}
1881	{"ud.num": 1.0}
1882	{"ud.num": 1.0}
1883	{"ud.num": 1.0}
1884	{"ud.num": 1.0}
1885	{"ud.num": 1.0}
1886	{"ud.num": 1.0}
1887	{"ud.num": 1.0}
1888	{"ud.num": 1.0}
1890	{"ud.num": 1.0}
1891	{"ud.num": 1.0}
1892	{"ud.num": 1.0}
1893	{"ud.num": 1.0}
1894	{"ud.num": 1.0}
1895	{"ud.num": 1.0}
1897	{"ud.num": 1.0}
1898	{"ud.num": 1.0}
1899	{"ud.num": 1.0}
19	{"ud.num": 1.0}
1900	{"ud.num": 1.0}
1901	{"ud.num": 1.0}
1902	{"ud.num": 1.0}
1903	{"ud.num": 1.0}
1904	{"ud.num": 1.0}
1905	{"ud.num": 1.0}
1906	{"ud.num": 1.0}
1907	{"ud.num": 1.0}
1908	{"ud.num": 1.0}
1909	{"ud.num": 1.0}
1910	{"ud.num": 1.0}
1911	{"ud.num": 1.0}
1912	{"ud.num": 1.0}
1913	{"ud.num": 1.0}
1914	{"ud.num": 1.0}
1915	{"ud.num": 1.0}
1916	{"ud.num": 1.0}
1917	{"ud.num": 1.0}
1918	{"ud.num": 1.0}
1919	{"ud.num": 1.0}
1920	{"ud.num": 1.0}
1921	{"ud.num": 1.0}
1922	{"ud.num": 1.0}
1923	{"ud.num": 1.0}
1924	{"ud.num": 1.0}
1925	{"ud.num": 1.0}
1926	{"ud.num": 1.0}
1927	{"ud.num": 1.0}
1928	{"ud.num": 1.0}
1929	{"ud.num": 1.0}
193	{"ud.num": 1.0}
1930	{"ud.num": 1.0}
1931	{"ud.num": 1.0}
1932	{"ud.num": 1.0}
1933	{"ud.num": 1.0}
1934	{"ud.num": 1.0}
1935	{"ud.num": 1.0}
1936	{"ud.num": 1.0}
1937	{"ud.num": 1.0}
1938	{"ud.num": 1.0}
1939	{"ud.num": 1.0}
1940	{"ud.num": 1.0}
1941	{"ud.num": 1.0}
1942	{"ud.num": 1.0}
1943	{"ud.num": 1.0}
1944	{"ud.num": 1.0}
1945	{"ud.num": 1.0}
1946	{"ud.num": 1.0}
1947	{"ud.num": 1.0}
1948	{"ud.num": 1.0}
1949	{"ud.num": 1.0}
1950	{"ud.num": 1.0}
1951	{"ud.num": 1.0}
1952	{"ud.num": 1.0}
1953	{"ud.num": 1.0}
1954	{"ud.num": 1.0}
1955	{"ud.num": 1.0}
1956	{"ud.num": 1.0}
1957	{"ud.num": 1.0}
1958	{"ud.num": 1.0}
1959	{"ud.num": 1.0}
1960	{"ud.num": 1.0}
1961	{"ud.num": 1.0}
1962	{"ud.num": 1.0}
1963	{"ud.num": 1.0}
1964	{"ud.num": 1.0}
1965	{"ud.num": 1.0}
1966	{"ud.num": 1.0}
1967	{"ud.num": 1.0}
1968	{"ud.num": 1.0}
1969	{"ud.num": 1.0}
1970	{"ud.num": 1.0}
1971	{"ud.num": 1.0}
1972	{"ud.num": 1.0}
1973	{"ud.num": 1.0}
1974	{"ud.num": 1.0}
1975	{"ud.num": 1.0}
1976	{"ud.num": 1.0}
1977	{"ud.num": 1.0}
1978	{"ud.num": 1.0}
1979	{"ud.num": 1.0}
1980	{"ud.num": 1.0}
1981	{"ud.num": 1.0}
1982	{"ud.num": 1.0}
1983	{"ud.num": 1.0}
1984	{"ud.num": 1.0}
1985	{"ud.num": 1.0}
1986	{"ud.num": 1.0}
1987	{"ud.num": 1.0}
1988	{"ud.num": 1.0}
1989	{"ud.num": 1.0}
1990	{"ud.num": 1.0}
1991	{"ud.num": 1.0}
1992	{"ud.num": 1.0}
1993	{"ud.num": 1.0}
1994	{"ud.num": 1.0}
1995	{"ud.num": 1.0}
1996	{"ud.num": 1.0}
1997	{"ud.num": 1.0}
1998	{"ud.num": 1.0}
1999	{"ud.num": 1.0}
2	{"ud.num": 1.0}
2-1	{"ud.x": 1.0}
2.000	{"ud.num": 1.0}
2.1	{"ud.num": 1.0}
